Season,DayNum,teamA,teamB,scoreA,scoreB,margin,result,NumOT,seed_dif,avg_margin_dif,avg_eff_A,avg_opp_eff_A,avg_eff_B,avg_opp_eff_B,avg_thr_per_A,ft_per_A,avg_fg_per_A,avg_fg_a_per_A,avg_thr_a_per_A,avg_to_per_A,avg_blk_per_A,avg_opp_fg_a_per_A,avg_thr_per_B,ft_per_B,avg_fg_per_B,avg_fg_a_per_B,avg_thr_a_per_B,avg_to_per_B,avg_blk_per_B,avg_opp_fg_a_per_B,thr_a_per_dif,tempo_pred,pred_fg_per_dif,pred_or_per_dif
1998,137,3104,3422,94,46,48,1,0,-13,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3112,3365,75,63,12,1,0,-11,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3163,3193,93,52,41,1,0,-13,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3198,3266,59,45,14,1,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3203,3208,74,72,2,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3234,3269,77,59,18,1,0,-9,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3242,3408,72,68,4,1,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3263,3301,64,89,-25,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3304,3307,76,59,17,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3224,3314,71,91,-20,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3283,3323,64,78,-14,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3330,3384,92,39,53,1,0,-15,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3212,3403,75,87,-12,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3276,3417,58,65,-7,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3374,3438,68,77,-9,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998,137,3272,3464,80,91,-11,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3116,3218,76,70,6,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3155,3274,60,49,11,1,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3161,3179,81,75,6,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3181,3292,92,67,25,1,0,-13,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3196,3285,85,64,21,1,0,-11,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3217,3390,71,67,4,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3228,3453,82,58,24,1,0,-11,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3235,3245,79,76,3,1,0,-9,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3221,3256,58,86,-28,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3257,3428,69,61,8,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3345,3449,88,71,17,1,0,-9,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3332,3353,76,79,-3,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3364,3435,76,71,5,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3251,3397,58,102,-44,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3439,3458,75,64,11,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998,138,3372,3443,76,88,-12,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3104,3417,75,74,1,1,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3112,3438,94,77,17,1,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3163,3203,75,67,8,1,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3234,3242,58,62,-4,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3301,3464,88,61,27,1,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3198,3314,72,85,-13,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3323,3403,74,59,15,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,139,3304,3330,60,75,-15,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3116,3217,82,64,18,1,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3181,3257,69,53,16,1,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3196,3439,89,57,32,1,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3228,3364,69,65,4,1,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3155,3256,52,74,-22,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3161,3345,63,77,-14,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3235,3353,61,62,-1,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,140,3397,3443,82,62,20,1,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,
1998,145,3116,3242,79,63,16,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
1998,145,3112,3163,57,74,-17,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,145,3181,3196,71,58,13,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,145,3104,3256,57,71,-14,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,145,3301,3330,55,54,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
1998,145,3228,3314,74,80,-6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
